club,points,wins,draws,losses,goals_for,goals_against,games_played,avg_plyr_salary,league,goals,yellow_card,red_card,possession,passing,AerialsWon,tackles_pg,Interceptions pg,fouls_pg,shots,shots_on,shots_off,dribbles_pp_pg,rating,prop_shots_on,goals_pg
New York Red Bulls,71,22,5,7,62,33,34,265.17,MLS,66,54,2,49.2,70.2,20.4,19.7,15.1,11.5,10.9,5.2,5.7,7.4,6.89,0.47706422018348627,1.9411764705882353
Atlanta United,69,21,6,7,70,44,34,364.94,MLS,77,67,3,52.1,81.9,11.4,19,12.4,10.7,10.9,5.8,5.1,8.7,6.89,0.5321100917431192,2.264705882352941
New York City FC,56,16,8,10,59,45,34,544.23,MLS,63,69,4,56.6,82.2,15.2,19.2,12.9,13.9,12.1,5,7.1,8.5,6.84,0.4132231404958678,1.8529411764705883
D.C. United,51,14,9,11,60,50,34,259.23,MLS,62,42,2,48.4,79.7,16.4,16.6,11.9,11.1,16.1,4.4,11.7,7.8,6.82,0.2732919254658385,1.8235294117647058
Columbus Crew SC,51,14,9,11,43,45,34,258.15,MLS,46,53,3,52.2,83.1,13.7,15.7,12.5,10.8,10.8,4.5,6.3,7.2,6.69,0.41666666666666663,1.3529411764705883
Philadelphia Union,50,15,5,14,49,50,34,307.59,MLS,50,57,4,50,80.6,16.7,16.3,13.3,11.9,12.5,4.8,7.7,9.9,6.75,0.384,1.4705882352941178
Montreal Impact,46,14,4,16,47,53,34,383.55,MLS,47,48,3,48.5,81.4,11.8,17.4,15.1,11,12.9,4.1,8.8,10.5,6.78,0.31782945736434104,1.3823529411764706
New England Revolution,41,10,11,13,49,55,34,272.8,MLS,49,79,4,48.4,74,17.6,18.2,12.9,15.1,12.8,5.3,7.5,8.5,6.71,0.41406249999999994,1.4411764705882353
Toronto FC,36,10,6,18,59,64,34,902.41,MLS,59,53,4,52.8,83.1,12.4,16.5,11.6,8.8,13.6,5.4,8.2,9.2,6.71,0.3970588235294118,1.7352941176470589
Chicago Fire,32,8,8,18,48,61,34,492.86,MLS,48,61,3,48.1,80.5,13.4,17.7,14.1,12.1,14.9,3.8,11.1,8.2,6.63,0.25503355704697983,1.411764705882353
