league,R,club,goals,yellow_card,red_card,possession,passing,AerialsWon,tackles_pg,Interceptions pg,fouls_pg,shots,shots_on,shots_off,dribbles_pp_pg,rating
Serie A,1,Juventus,86,64,1,56,87.2,12.3,13.6,11.1,11.4,14.6,5.5,9.1,13.7,7.05
Serie A,2,Roma,61,46,4,56.1,83.3,17.9,14.4,12.6,10.4,16.9,5.4,11.5,10.8,6.96
Serie A,3,Lazio,89,73,7,51,82.7,12.9,17.8,13,11.4,14.6,5.6,9,12.2,6.95
Serie A,4,SSC Napoli,77,56,3,60.3,87.7,10.4,15.8,9,9.2,17.3,6.8,10.5,9.2,6.94
Serie A,5,Internazionale,66,69,1,55.1,85.7,14.7,16.6,10.6,11.9,15.1,5.4,9.7,9.3,6.92
Serie A,6,Atalanta,57,62,4,53.8,81.3,15.3,19.1,12.5,12.9,15.2,5.2,10,11.6,6.88
Serie A,7,Fiorentina,54,84,5,51.9,81,15.2,19.5,12.9,14.5,16.3,5,11.3,9.2,6.82
Serie A,8,Torino,54,70,5,51.2,80,16.7,16,11.1,14.9,11.9,4.1,7.8,11,6.8
Serie A,9,AC Milan,56,67,7,54.6,85.3,12.1,14,9.3,13,16.1,5.9,10.2,7.8,6.76
Serie A,10,Sampdoria,56,65,3,52.5,82.4,12.6,16.4,8.8,11.2,12.7,4.6,8.1,9.4,6.7
Serie A,11,Udinese,48,72,4,45.9,77.8,14.8,16.3,12.1,14,11.6,3.6,8,8.2,6.65
Serie A,12,Bologna,40,94,6,47.7,79.1,16.1,17.4,12.2,12.7,9.4,3.3,6.1,8.6,6.64
Serie A,13,Genoa,33,77,5,46.9,77.9,15.5,14.5,10.4,14.6,11,3.3,7.7,8.7,6.64
Serie A,14,SPAL,39,97,4,46.2,79.4,14,15.4,13.9,12.6,9.8,3,6.8,8.2,6.64
Serie A,15,Chievo,36,73,4,45.6,77.4,17.9,14.3,11.7,12.6,10.3,3.5,6.8,5.4,6.61
Serie A,16,Crotone,40,65,2,42.4,70.7,17.1,18.3,15.2,13.2,10,3.5,6.5,6.6,6.61
Serie A,17,Sassuolo,29,81,7,44.8,75.6,16.2,14.9,13.3,12.8,13.1,3.8,9.3,8.7,6.6
Serie A,18,Cagliari,33,88,6,45.8,75.3,20.3,16.8,11.4,16.1,10,3.1,6.9,6.2,6.59
